GaiaDR3_ID,cluster,subgroup,fiducial_age_Myr,Prot,BPRP_0,G_0,e_BPRP_0,dr3_parallax_zpt_corrected,dr3_ruwe,mem_prob_hdbscan,cmd_exclude,dered_exclude,phot_exclude,phot_bp_rp_excess_factor,astrometric_excess_noise_sig,phot_bp_rp_excess_factor_t,astrometric_excess_noise_sig_t,noise_sig_detected,spec_coverage,e_Prot_true,e_Prot_imputed,mem_prob_source
3451179227915721728,M37,M37,446.0,16.896758,1.9036015212386377,19.40695216720892,0.1262804306668156,0.7541295720536219,1.085105,0.374,0,0,0,1.4504652,1.7300118,0.3718843341719698,1.0043059587478638,1,none,,0.1689675799999999,0.374
3451181491363516544,M37,M37,446.0,9.731083,1.0704161041454314,16.629135197507857,0.0751329834294095,0.5261533517701078,0.96904063,0.415,0,0,0,1.2709475,0.0,0.2397626509592808,0.0,0,gsp_only,,0.2827976618929118,0.415
3451181598737578112,M37,M37,446.0,1.783138,1.9387662412879227,19.355622512048843,0.2331292269373723,0.1967445075997523,1.0457853,0.152,0,0,0,1.5073254,0.94034183,0.4103368292093902,0.6628641486167908,1,none,,0.0160307644683532,0.152
3451181598739006848,M37,M37,446.0,5.314069,1.5811796710681536,20.149582587101147,0.5127507719472026,-1.134235841685284,1.1228948,,0,0,0,1.8881929,1.6486077,0.6356202299169604,0.9740341305732728,1,none,,0.1016453575182147,0.5
3451181628802473600,M37,M37,446.0,10.055998,1.2202045224762044,17.329121963035657,0.0308650239756734,0.5616694657652223,1.0674522,0.255,0,0,0,1.2554487,0.3581668,0.2274930377671263,0.3061358630657196,1,gsp_only,,0.2989523327332781,0.255
3451181976698592896,M37,M37,446.0,5.456419,0.8785595673869848,15.631251694112182,0.0391397121710539,0.7180035591350455,0.9800485,0.655,0,0,0,1.2287782,0.0,0.2060203774153931,0.0,0,gsp_only,,0.106293254605723,0.655
3451191425622078720,M37,M37,446.0,1.259856,1.8773063908111387,19.33699353014525,0.1109707573920554,1.6663283830600144,0.97703,,0,0,0,1.3796906,0.0,0.3218593052897204,0.0,0,none,,0.0089080528476074,0.919
3451193311113114752,M37,M37,446.0,7.471349,1.116466998721484,16.774227505063564,0.0335330478190383,0.8190497457928676,1.0403752,0.524,0,0,0,1.251401,0.0,0.2242636817904064,0.0,0,gsp_only,,0.1808702373241557,0.524
3451193311113123840,M37,M37,446.0,7.417893,1.371703916912987,17.490834945385828,0.0771101578375528,0.7471759985696905,1.0691793,0.808,0,0,0,1.2634954,1.1346045,0.2338820429733419,0.7582813501358032,1,gsp_only,,0.1786868310481479,0.808
3451193693365478784,M37,M37,446.0,1.080238,1.83681276674786,19.52200105657157,0.126818458138182,0.7480465876047707,1.0065383,,0,0,0,1.3726292,0.7679942,0.3167279997362816,0.5698456764221191,1,none,,0.0068674388137022,0.5
3451193899527038464,M37,M37,446.0,6.229381,2.0128083048018195,18.88179261135263,0.087053010160874,0.9218483052136676,0.9823071,0.22,0,0,0,1.3212059,0.38423863,0.278544845659931,0.3251502513885498,1,none,,0.1329915640431757,0.22
3451199324073170432,M37,M37,446.0,12.290439,1.5216011385906931,17.90965135822774,0.0582094763788191,0.9210843422414444,0.9521899,0.311,0,0,0,1.3385419,0.0,0.2915808612992274,0.0,0,gsp_only,,0.419753468039559,0.311
3451200496595652608,M37,M37,446.0,0.580129,1.509390627629047,20.26989021040997,0.4344824726853583,,,,0,0,0,1.6212839,0.0,0.4832183593240147,0.0,0,none,,0.0023995260420283,0.5
3451202450811978112,M37,M37,446.0,2.01981,1.9138108323841208,18.95372727663697,0.0921021999038641,0.6511802825341079,0.9763774,,0,0,0,1.4643363,0.0,0.3814020859213162,0.0,0,none,,0.0197925709408729,0.5
3451203447244228352,M37,M37,446.0,17.970595,2.0080705801769705,19.20065483065285,0.1269048407158162,0.2696843603597826,1.0670298,,0,0,0,1.3908992,1.1418474,0.3299504310665113,0.7616686820983887,1,none,,0.17970595,0.5
3451204070007838464,M37,M37,446.0,6.360057,1.9818693847908315,19.572171636561663,0.1391921516387131,1.3878646349934298,1.0433182,,0,0,0,1.4236274,0.42960256,0.3532081049806547,0.3573964834213257,1,none,,0.1377443990846078,0.5
3451204551042677376,M37,M37,446.0,2.245378,1.7107690564032318,19.687634574339345,0.1956955262443072,0.4512694156114497,1.0860885,,0,0,0,1.359759,3.2023456,0.3073074583957894,1.4356428384780884,1,none,,0.0236739648240233,0.621
3451205616198591360,M37,M37,446.0,5.016465,0.8701959920877935,15.56583786309266,0.0385167523299661,0.7308075367679636,0.9857454,0.883,0,0,0,1.2332678,0.0,0.2096673815577599,0.0,0,gsp_only,,0.0922046483998192,0.883
3451205650554294784,M37,M37,446.0,17.465989,1.6588590176666096,19.457140869827978,0.1075320148833608,-0.3232388598025221,1.00281,,0,0,0,1.4279933,0.91931576,0.3562701703327813,0.6519687175750732,1,none,,0.17465989,0.866
3451206200313807232,M37,M37,446.0,12.052344,1.7277081031205108,18.17971687666364,0.0539833892909052,0.5123847453421936,0.987426,0.233,0,0,0,1.2475698,0.0,0.2211974985197703,0.0,0,gsp_only,,0.4060919374004004,0.233
3451207055007520256,M37,M37,446.0,14.529239,1.8101070327940485,18.80761596821914,0.107605649506206,0.6370607264625262,1.0416243,0.292,0,0,0,1.3087031,0.0,0.269036620033091,0.0,0,none,,0.14529239,0.292
3425532981759447680,M35,M35,188.0,3.685,0.8659367908476163,14.502307004306948,0.0191581632375728,1.2323011645047282,1.0232385,0.72,0,0,0,1.229066,0.0,0.2062545429654921,0.0,0,gsp_only,,0.0547233120172875,0.72
3425538852980376576,M35,M35,188.0,4.264,1.5954700741932983,17.115914033265163,0.0396316703117159,1.3731991945035824,1.0047852,,0,0,0,1.3251429,0.0,0.2815202728054345,0.0,0,gsp_only,,0.0700443009514166,0.998
3425541464320395264,M35,M35,188.0,0.649,0.4790478928128112,12.641989642928108,0.0236228883815811,1.1822730995970132,1.0163208,,0,0,0,1.1925261,0.0,0.1760738320657901,0.0,0,none,,0.0029008861207773,0.992
3426159875187854336,M35,M35,188.0,2.556,0.8040611940695852,14.29118058201187,0.0224269372587957,1.259997963254932,1.045121,0.686,0,0,0,1.2184061,0.0,0.1975435137219847,0.0,0,gsp_only,,0.0294746339900692,0.686
3426175779450585728,M35,M35,188.0,0.044,0.4280757784920911,12.498360125739127,0.0189753617961822,1.2337291655963212,0.99221003,0.742,0,0,0,1.182507,5.4347496,0.1676367932617607,1.86171293258667,1,gsp_only,,3.059397144555255e-05,0.742
3426181762340514688,M35,M35,188.0,6.795,1.2803860317575604,16.28739861732861,0.080250260326899,1.282630566787739,1.0619942,0.759,0,0,0,1.2675148,0.4065321,0.2370581525625323,0.3411271572113037,1,gsp_only,,0.1540512598750202,0.759
3426257388125459968,M35,M35,188.0,0.717,1.2563997439137258,16.09184523062453,0.0368175548674649,1.1103565804553177,1.0632284,0.711,0,0,0,1.2627265,1.9574822,0.2332733079182188,1.0843383073806765,1,gsp_only,,0.0034334055109883,0.711
3426261025958558720,M35,M35,188.0,9.027,1.7698296977761006,17.536160404710273,0.0503369158913502,1.3414916220198163,1.004466,,0,0,0,1.3329531,0.0,0.2873968533577541,0.0,0,gsp_only,,0.2490612586893,0.996
3426267279431105024,M35,M35,188.0,1.686,0.2444695462208618,11.930880148664068,0.0171626171752582,1.185199245397908,1.0670983,0.764,0,0,0,1.1708906,10.075687,0.1577646299387423,2.404752254486084,1,rv_only,,0.0145816575421563,0.764
3426267313792938880,M35,M35,188.0,6.338,1.1137875906178931,15.510955101204644,0.0335206039647123,1.242199366982376,0.9998513,0.467,0,0,0,1.2444137,0.0,0.2186645222086371,0.0,0,gsp_only,,0.1369373786458904,0.467
3426267897908372096,M35,M35,188.0,5.184,1.532789170436194,16.786353124392633,0.1012900727552357,1.2641626406814066,0.94558215,0.52,0,0,0,1.3142173,0.0,0.2732413013825735,0.0,0,gsp_only,,0.097473008090764,0.52
3426268245802752000,M35,M35,188.0,5.868,0.0743385524164935,10.285325896020856,0.0159141617607226,1.1831215513735132,0.9333003,0.946,0,0,0,1.1683782,12.06,0.1556166623863482,2.569554090499878,1,none,,0.1202054514607475,0.946
3426270204307787392,M35,M35,188.0,0.834,0.0453911754747629,10.205156791887624,0.0168962027057473,1.213267417941444,1.0335947,0.479,0,0,0,1.1669885,16.497938,0.1544264920835812,2.8620829582214355,1,both,,0.0044336382789688,0.479
3426270371809663232,M35,M35,188.0,8.342,1.3343722000264884,16.312628185280627,0.0670202071918609,1.050089424271694,0.91492915,,0,0,0,1.2979819,0.0,0.2608106414919884,0.0,0,gsp_only,,0.2179397215925795,0.976
3426271647416788224,M35,M35,188.0,0.104,0.4242589775717002,12.475011069428744,0.0182579770480878,1.1835365082399762,1.062043,0.68,0,0,0,1.1837528,7.8365135,0.1686897099228036,2.1788923740386963,1,both,,0.0001310720796167,0.68
3426276109884241664,M35,M35,188.0,2.965,1.6458317190822995,17.061375887544635,0.0432489359167751,1.1466602444025005,1.0396969,0.443,0,0,0,1.2673452,1.1619189,0.2369243109947252,0.7709962129592896,1,gsp_only,,0.0378863331339708,0.443
3426276973176076032,M35,M35,188.0,2.001,0.9301808747597148,14.654312519577276,0.0177397533982516,1.2103382535307348,1.0073408,0.694,0,0,0,1.2293085,0.0,0.2064518047705633,0.0,0,gsp_only,,0.0194818109970814,0.694
3426279511498320000,M35,M35,188.0,4.599,2.0607731333316828,18.343578259561014,0.364459179571887,1.3307851315097905,0.99777174,0.471,0,0,0,1.3758677,0.0,0.3190846043806091,0.0,0,gsp_only,,0.0796029002231897,0.471
3426282363356740992,M35,M35,188.0,1.886,0.7307339012649141,13.76251296488624,0.0162383030889071,1.1714343726720298,1.0019178,0.919,0,0,0,1.2109873,0.0,0.1914360016615802,0.0,0,both,,0.0176258963443038,0.919
3426283394148438272,M35,M35,188.0,4.742,0.9339412668002324,14.831465266841125,0.0208740801209292,1.1507575169553144,0.9656594,0.776,0,0,0,1.2357504,0.0,0.2116784266605332,0.0,0,gsp_only,,0.0838342271584265,0.776
3426289578903375104,M35,M35,188.0,2.938,2.043341518972752,18.504000074260293,0.2185639172714596,1.5649828623796316,1.100607,,0,0,0,1.3743932,1.108645,0.3180123426054547,0.7460455298423767,1,gsp_only,,0.0373046354286107,0.99
3426290747139913344,M35,M35,188.0,5.696,1.6231059947261608,17.203760867406636,0.139462693195151,1.1179474059429335,1.0649527,0.443,0,0,0,1.3148938,0.20055662,0.2737559336587993,0.182785302400589,1,gsp_only,,0.1143065363561479,0.443
3426291056372190464,M35,M35,188.0,4.919,1.1160034733054327,15.575679257961225,0.0581873387221566,1.225949432552144,0.9995686,0.785,0,0,0,1.2524968,0.1123849,0.2251390298776023,0.106506273150444,1,gsp_only,,0.0891949892882765,0.785
3426295007742218368,M35,M35,188.0,6.995,1.1168352357629516,15.689974212147623,0.0312170713020607,1.1605217455540415,1.0378186,0.486,0,0,0,1.2511951,1.0142758,0.2240991530835629,0.7002597451210022,1,gsp_only,,0.1617982975477563,0.486
3426295901096334976,M35,M35,188.0,6.377,1.3320998830943898,16.2237513887687,0.0333240417789216,1.13218298214294,1.0724497,0.679,0,0,0,1.2807896,1.6770186,0.2474767734574278,0.9847037196159364,1,gsp_only,,0.1383656245372784,0.679
